"","stationcode","sampleid","sampledate","oovere","mmi","csci","latitude","longitude","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Q99","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"135","901S04409","901S04409_05192011_BMI_RWB_1","5/19/11",1.02084484,0.8790989,0.94997187,33.60347,-117.45314,-15,0.01,0.0201,-2,0,0.20175,-0.5,0,27,0,-0.0298,-29,-28,-1.09,-1.3,-8
"136","901S06851","901S06851_05192011_BMI_RWB_1","5/19/11",0.90864304,0.47509683,0.69186994,33.55052,-117.67542,-69,0.0121,-0.0612,11.5,NA,NA,NA,78.5726,-33,16.0675,0,39.5,98.5,0,-0.7407,-25.5
"137","901S06969","901S06969_05312012_BMI_RWB_1","5/31/12",0.85281563,0.76090336,0.8068595,33.55334,-117.39579,-6,0.01,0.01,-2,NA,NA,NA,0,27,0,-0.0298,-29,-29,-1.09,1.5,-1
"138","901SJC74x","901SJC74x_04222009_BMI_RWB_1","4/22/09",0.49188019,0.39939368,0.44563694,33.51917,-117.62372,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7971,NA,147.5,NA,NA,NA,NA
"139","902S01097","902S01097_05112009_BMI_RWB_1","5/11/09",1.29787326,0.80264027,1.05025676,33.48724,-117.25537,-3,0.0042,-0.00175,-0.5,NA,NA,NA,3.5022,-21,3.9302,0,0,-2,-0.0099,-0.0106,-15
"140","903M20235","903M20235_06122018_BMI_RWB_1","6/12/18",0.78813251,0.65973673,0.72393462,33.24759,-116.78551,0,0.0031,0.42535,0,NA,NA,NA,-0.1056,-1,0.883,0,0,0.5,-0.10355,-0.0203,-0.5
"141","903WE0798","903WE0798_05042016_BMI_RWB_1","5/4/16",1.01056442,0.77545445,0.89300943,33.33669,-116.82848,0,-0.0012,-0.0014,0,NA,NA,NA,-0.0365,0,-0.0013,0,0,0,0.0043,-0.00165,0
"142","903WE0900","903WE0900_05042016_BMI_RWB_1","5/4/16",1.23393264,0.82614786,1.03004025,33.33052,-116.81511,0,-0.0015,-0.00165,0,0,-0.1055,0,0.0283,0,0.04175,0,0,0,0.0054,0.0024,0
"143","905CE0512","905CE0512_04202004_BMI_RWB_1","4/20/04",1.22510636,0.94344596,1.08427616,33.11137,-116.74386,-6,0.01,0.01,-2,NA,NA,NA,0,27,0,-0.0298,-29,-29,-1.09,1.5,0
"144","905S02561","905S02561_05252011_BMI_RWB_1","5/25/11",1.00161487,1.19546283,1.09853885,33.12974,-116.63591,-29,0.01,0.01,-2,0,0.2199,0,0,-2,0,-0.0298,0,0,0.01,1.5,-8
